count,-1
_,2,3,4,5,6,7,8,9,10,11
11,1,1,1,1,1,1,1,1,1,1
12,1,1,1,0,0,1,1,1,1,1
13,1,0,0,0,0,1,1,1,1,1
14,0,0,0,0,0,1,1,1,1,1
15,0,0,0,0,0,1,1,1,1,1
16,0,0,0,0,0,1,1,1,1,1
17,0,0,0,0,0,0,0,0,0,0
count,0
_,2,3,4,5,6,7,8,9,10,11
11,1,1,1,1,1,1,1,1,1,1
12,1,1,0,0,0,1,1,1,1,1
13,0,0,0,0,0,1,1,1,1,1
14,0,0,0,0,0,1,1,1,1,1
15,0,0,0,0,0,1,1,1,1,1
16,0,0,0,0,0,1,1,1,0,1
17,0,0,0,0,0,0,0,0,0,0
count,2
_,2,3,4,5,6,7,8,9,10,11
11,1,1,1,1,1,1,1,1,1,1
12,1,0,0,0,0,1,1,1,1,1
13,0,0,0,0,0,1,1,1,1,1
14,0,0,0,0,0,1,1,1,1,1
15,0,0,0,0,0,1,1,1,1,1
16,0,0,0,0,0,1,1,1,0,1
17,0,0,0,0,0,0,0,0,0,0
count,3
_,2,3,4,5,6,7,8,9,10,11
11,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,0,1,1,1,1,1
13,0,0,0,0,0,1,1,1,1,1
14,0,0,0,0,0,1,1,1,1,1
15,0,0,0,0,0,1,1,1,1,1
16,0,0,0,0,0,1,1,1,0,1
17,0,0,0,0,0,0,0,0,0,0
